,configuration,Instance 1,Instance 2,Instance 3,Instance 4,Instance 5
0,"(5,3,3)",0.9576008273009305,0.9866548042704626,0.9889135254988914,0.9738903394255874,0.612121212121212
1,"(5,3,4)",0.8500517063081695,0.9991103202846975,0.8946784922394679,0.9956483899042645,0.8348484848484847
2,"(5,3,5)",0.9793174767321611,0.9866548042704626,0.9756097560975611,0.9712793733681462,0.8348484848484847
3,"(3,5,3)",0.9948240165631469,0.9743062692702981,0.8005215123859193,0.7553648068669527,0.860294117647059
4,"(3,5,4)",1.0,0.9722507708119218,0.9582790091264667,0.9420600858369099,0.9611344537815125
5,"(3,5,5)",0.9192546583850932,0.9712230215827337,0.8096479791395046,0.7371244635193133,1.0
6,"(6,3,3)",0.7212121212121211,0.743119266055046,0.9653739612188363,0.946188340807175,0.9824715162138474
7,"(6,3,4)",0.9287878787878788,0.9963302752293579,0.9473684210526315,0.8161434977578476,0.950920245398773
8,"(6,3,5)",0.9409090909090909,0.9963302752293579,0.92797783933518,0.7787742899850524,0.950920245398773
9,"(3,6,3)",0.810576923076923,0.8769987699876998,0.8635907723169509,0.8977987421383647,0.9673433362753752
10,"(3,6,4)",0.9048076923076923,0.9692496924969247,0.687061183550652,0.9984276729559748,0.999117387466902
11,"(3,6,5)",0.9048076923076923,0.9680196801968018,0.9879638916750253,0.9842767295597483,0.9779346866725508
12,"(5,4,3)",0.7662538699690402,0.9066478076379066,0.9348441926345608,0.8517145505097312,0.6968215158924206
13,"(5,4,4)",0.9009287925696594,0.7652050919377652,0.8116147308781868,0.8220574606116775,0.9462102689486553
14,"(5,4,5)",0.8188854489164086,0.9391796322489392,0.8229461756373937,0.953660797034291,0.9865525672371639
15,"(4,5,3)",0.9254341164453526,0.982843137254902,0.9532505478451425,0.891891891891892,0.8817518248175185
16,"(4,5,4)",0.8947906026557713,0.9795751633986928,0.8319941563184807,0.7817047817047816,0.9788321167883213
17,"(4,5,5)",0.9356486210418794,0.9624183006535948,0.7954711468224982,0.8534303534303532,0.9503649635036497
18,"(4,4,3)",0.9582608695652172,0.9295918367346937,0.8557377049180328,0.6923076923076924,0.9304347826086958
19,"(4,4,4)",0.9582608695652174,0.8551020408163263,0.9562841530054644,0.8675914249684742,0.7923913043478261
20,"(4,4,5)",0.8417391304347825,0.9357142857142856,0.8557377049180328,0.8827238335435057,0.9750000000000002
