,configuration,Instance 1,Instance 2,Instance 3,Instance 4,Instance 5
0,"(5,3,3)",-10.70274,-12.440441,-11.59041,-12.566202,-13.045482
1,"(5,3,4)",-7.497617,-7.574388,-10.90095,-7.176726,-12.803614
2,"(5,3,5)",-9.806173,-10.187564,-9.602538,-10.387315,-10.169962
3,"(3,5,3)",-15.307788,-14.173679,-16.460361,-15.896932,-15.846701
4,"(3,5,4)",-11.689861,-13.436661,-14.530332,-12.844532000000001,-13.41526
5,"(3,5,5)",-11.817212999999999,-13.084914999999999,-14.038858,-13.180496999999999,-13.501352
6,"(6,3,3)",-28.040588,-29.103123,-26.171772,-28.079134999999997,-20.443851000000002
7,"(6,3,4)",-22.772628,-22.931166,-21.114421,-23.242416,-14.01031
8,"(6,3,5)",-22.700014,-24.441306,-21.187055,-22.817162000000003,-12.806837
9,"(3,6,3)",-34.228309,-35.96503,-33.804884,-39.735737,-29.118619
10,"(3,6,4)",-23.618185,-23.893251000000003,-15.634883,-25.801061,-21.751054000000003
11,"(3,6,5)",-23.662036,-27.35498,-26.131935,-28.271105,-21.436539
12,"(5,4,3)",-32.398891,-31.79112,-31.366043,-27.006499,-30.741208
13,"(5,4,4)",-25.115389,-24.826165,-26.877041,-22.312143000000003,-26.439763
14,"(5,4,5)",-26.108727000000002,-27.60195,-25.46525,-20.648645,-23.348614
15,"(4,5,3)",-33.379490999999994,-30.985022,-28.657859000000002,-33.438853,-28.262551000000002
16,"(4,5,4)",-24.372865,-25.885976,-21.519371,-24.226312,-21.157157
17,"(4,5,5)",-24.770891,-25.535487,-21.770313,-27.721425,-21.38144
18,"(4,4,3)",-17.037563000000002,-13.774454,-16.037316999999998,-15.427262,-14.402
19,"(4,4,4)",-15.735434,-12.349905,-14.176819,-13.485018,-12.64977
20,"(4,4,5)",-13.874001,-12.179306,-12.221605,-12.041867,-12.262122000000002
