,configuration,Instance 1,Instance 2,Instance 3,Instance 4,Instance 5
0,"(5,3,3)",9.26,11.09,8.92,11.19,4.039999999999999
1,"(5,3,4)",8.22,11.23,8.07,11.44,5.51
2,"(5,3,5)",9.469999999999999,11.09,8.8,11.16,5.51
3,"(3,5,3)",9.61,9.48,6.140000000000001,7.04,8.190000000000001
4,"(3,5,4)",9.66,9.459999999999999,7.35,8.780000000000001,9.149999999999999
5,"(3,5,5)",8.88,9.45,6.21,6.87,9.52
6,"(6,3,3)",4.76,4.05,6.969999999999999,6.33,11.209999999999999
7,"(6,3,4)",6.130000000000001,5.43,6.84,5.46,10.85
8,"(6,3,5)",6.210000000000001,5.43,6.7,5.21,10.85
9,"(3,6,3)",8.43,7.13,8.61,5.71,10.96
10,"(3,6,4)",9.41,7.879999999999999,6.85,6.35,11.32
11,"(3,6,5)",9.41,7.87,9.850000000000001,6.26,11.08
12,"(5,4,3)",4.95,6.409999999999999,6.6,9.19,5.7
13,"(5,4,4)",5.82,5.409999999999999,5.7299999999999995,8.87,7.74
14,"(5,4,5)",5.29,6.64,5.81,10.29,8.07
15,"(4,5,3)",9.06,12.030000000000001,13.05,8.580000000000002,12.080000000000002
16,"(4,5,4)",8.76,11.99,11.39,7.5200000000000005,13.41
17,"(4,5,5)",9.159999999999998,11.780000000000001,10.89,8.209999999999999,13.020000000000001
18,"(4,4,3)",5.509999999999999,9.11,7.83,5.49,8.56
19,"(4,4,4)",5.51,8.379999999999999,8.75,6.88,7.29
20,"(4,4,5)",4.84,9.17,7.83,7.0,8.97
