,file_name,configuration,num_agents,num_vacnJobs,penalty1,penalty2,control_restrictions,p,param_type,init_type,mixer_hamiltonian
1,conf_jrpInitConf0_circuitConf0,"(5,3,3)",5,3,2.5,3,False,3,standard,ramp,x
2,conf_jrpInitConf0_circuitConf1,"(5,3,4)",5,3,2.5,3,False,4,standard,ramp,x
3,conf_jrpInitConf0_circuitConf2,"(5,3,5)",5,3,2.5,3,False,5,standard,ramp,x
4,conf_jrpInitConf1_circuitConf0,"(3,5,3)",3,5,2.5,3,False,3,standard,ramp,x
5,conf_jrpInitConf1_circuitConf1,"(3,5,4)",3,5,2.5,3,False,4,standard,ramp,x
6,conf_jrpInitConf1_circuitConf2,"(3,5,5)",3,5,2.5,3,False,5,standard,ramp,x
7,conf_jrpInitConf2_circuitConf0,"(6,3,3)",6,3,2.5,3,False,3,standard,ramp,x
8,conf_jrpInitConf2_circuitConf1,"(6,3,4)",6,3,2.5,3,False,4,standard,ramp,x
9,conf_jrpInitConf2_circuitConf2,"(6,3,5)",6,3,2.5,3,False,5,standard,ramp,x
10,conf_jrpInitConf3_circuitConf0,"(3,6,3)",3,6,2.5,3,False,3,standard,ramp,x
11,conf_jrpInitConf3_circuitConf1,"(3,6,4)",3,6,2.5,3,False,4,standard,ramp,x
12,conf_jrpInitConf3_circuitConf2,"(3,6,5)",3,6,2.5,3,False,5,standard,ramp,x
13,conf_jrpInitConf4_circuitConf0,"(5,4,3)",5,4,2.5,3,False,3,standard,ramp,x
14,conf_jrpInitConf4_circuitConf1,"(5,4,4)",5,4,2.5,3,False,4,standard,ramp,x
15,conf_jrpInitConf4_circuitConf2,"(5,4,5)",5,4,2.5,3,False,5,standard,ramp,x
16,conf_jrpInitConf5_circuitConf0,"(4,5,3)",4,5,2.5,3,False,3,standard,ramp,x
17,conf_jrpInitConf5_circuitConf1,"(4,5,4)",4,5,2.5,3,False,4,standard,ramp,x
18,conf_jrpInitConf5_circuitConf2,"(4,5,5)",4,5,2.5,3,False,5,standard,ramp,x
19,conf_jrpInitConf6_circuitConf0,"(4,4,3)",4,4,2.5,3,False,3,standard,ramp,x
20,conf_jrpInitConf6_circuitConf1,"(4,4,4)",4,4,2.5,3,False,4,standard,ramp,x
21,conf_jrpInitConf6_circuitConf2,"(4,4,5)",4,4,2.5,3,False,5,standard,ramp,x
