,configuration,Instance 1,Instance 2,Instance 3,Instance 4,Instance 5
0,"(5,3,3)",254,440,573,166,357
1,"(5,3,4)",417,253,541,356,578
2,"(5,3,5)",676,710,646,412,325
3,"(3,5,3)",148,284,358,405,285
4,"(3,5,4)",355,400,713,543,414
5,"(3,5,5)",661,378,981,601,524
6,"(6,3,3)",418,281,320,363,574
7,"(6,3,4)",545,978,414,922,259
8,"(6,3,5)",442,1120,1093,528,474
9,"(3,6,3)",574,426,351,559,251
10,"(3,6,4)",522,460,220,659,428
11,"(3,6,5)",747,887,852,466,776
12,"(5,4,3)",261,360,325,200,238
13,"(5,4,4)",478,625,814,283,767
14,"(5,4,5)",1085,1039,569,331,644
15,"(4,5,3)",188,314,351,221,279
16,"(4,5,4)",491,343,356,718,452
17,"(4,5,5)",477,595,598,923,697
18,"(4,4,3)",345,256,524,431,412
19,"(4,4,4)",629,922,619,425,786
20,"(4,4,5)",516,581,1122,376,395
